Japanese,Prompt
首輪,"collar"
手錠,"handcuffs"
目隠し,"blindfold"
縄/緊縛,"rope, bondage"
ニップルピアス,"nipple piercing"
ガーターベルト,"garter belt"
口枷,"gag"
拘束衣,"straitjacket"
鎖,"chains"
性玩具/バイブ,"sex toy, vibrator"
乳首クリップ,"nipple clamps"
アナルプラグ,"anal plug"
アイマスク,"eye mask"
紐パン,"side-tie panties"
乳首ピアス,"nipple ring"
拘束用具,"restraints"
恥ずかしい衣装,"shame outfit"
触手,"tentacles"
猿轡,"bit gag"
ペニスバンド/ストラップオン,"strap-on"
ディルド,"dildo"
首輪とリード,"collar and leash"
鞭/ムチ,"whip, riding crop"
鈴,"bell, bell choker"
スライム,"slime"
コンドーム,"condom"
浣腸,"enema"
デンマ/マッサージ器,"magic wand, massager"
アナルビーズ,"anal beads"
尻尾プラグ,"tail plug"
ラバー衣装,"latex"
ボンデージ/BDSM,"bdsm"
男性用貞操帯(コックケージ),"chastity cage"
ペニスリング,"cock ring"
ボールギャグ,"ball gag"
スプレッダーバー,"spreader bar"
セックスマシン,"sex machine"
服の中のバイブ,"vibrator under clothes"
リモコンバイブ,"remote control vibrator"
搾乳機,"milking machine"
