Japanese,Prompt
鎧/アーマー,"armor"
魔法使いの服/ローブ,"wizard robe"
メイド服,"maid outfit"
着物,"kimono"
ゴスロリドレス,"gothic lolita fashion"
ナース服,"nurse uniform"
巫女服,"miko outfit"
ドレス,"elegant dress"
バニースーツ,"bunny suit"
冒険者の服,"adventurer outfit"
プリンセスドレス,"princess dress"
ビキニアーマー,"bikini armor"
サンタ服,"santa costume"
シスター服,"sister uniform"
浴衣,"yukata"
振袖,"furisode"
ミリタリー制服,"military uniform"
妖精のドレス,"fairy dress"
サイバーパンクスーツ,"cyberpunk suit"
ファンタジードレス,"fantasy dress"
甲冑,"plate armor"
聖職者の服 / プリーストローブ,"priest robe"
暗殺者の衣装 / アサシンスーツ,"assassin outfit"
踊り子の衣装 / ダンサーウェア,"dancer costume"
サイバースーツ,"cybersuit"
クイーンのドレス,"queen gown"
スチームパンクドレス,"steampunk clothing"
戦巫女の服,"battle miko outfit"
ヴァルキリーアーマー,"valkyrie armor"
死神のローブ,"reaper robe"
妖精の衣装,"fairy costume"
