Japanese,Prompt
股を開く,"spread legs"
M字開脚,"m-leg spread"
前屈み,"bent over"
お尻を突き出す(誘う),"presenting"
胸を揉まれる,"groping"
胸を寄せる,"pushing breasts together"
胸を強調する,"breast squeeze"
お尻を強調する,"ass focus"
胸のクローズアップ,"breast close-up"
股間のクローズアップ,"crotch close-up"
腰を振る,"hip shake"
スカートをめくる,"skirt lift"
シャツをめくる,"shirt lift"
パンツを下ろす,"pulling down panties, half pulled down panties"
パンチラ,"upskirt, visible underwear"
胸を押し付ける,"breast press"
乳首を見せる,"exposed nipples"
胸の谷間,"cleavage"
横乳,"sideboob"
下乳,"underboob"
パイズリポーズ,"paizuri pose"
フェラポーズ,"fellatio pose"
四つん這い,"all fours, ass up"
寝そべって股を開く,"lying on back, spread legs"
足を広げて座る,"sitting with spread legs"
足を上げる,"leg lift"
カメラ目線で見せつける,"presenting to viewer, looking at viewer"
両手を縛られる,"hands tied behind back"
土下座/服従の姿勢,"groveling, submission"
