Japanese,Prompt
NSFW（成人向け表示）,"nsfw"
ヌード,"nudity"
裸,"naked"
トップレス,"topless"
ボトムレス,"bottomless"
モザイクなし,"uncensored"
半裸,"semi-nudity"
露出度の高い服,"revealing clothes"
完全ヌード,"completely naked, fully nude"
局部露出,"genitals exposed"
パンスト越しの透け,"panties under pantyhose, sheer clothing"
下着姿,"lingerie, underwear"
水着姿,"swimwear"
マイクロビキニ,"micro bikini"
透け透けの服,"see-through clothing"
極端に透けた服,"extremely sheer clothing"
胸の露出,"breasts exposed"
お尻の露出,"ass exposed"
乳輪,"areola"
乳首,"nipples"
勃起乳首,"erect nipples"
ノーブラ,"no bra"
ノーパン,"no panties"
汗ばんだ肌,"sweaty skin"
日焼け跡,"tan lines"
貝殻ビキニ,"shell bikini"
スリングショット水着,"slingshot swimsuit"
自慰行為,"masturbation"
放置プレイ,"neglect play, edging"
羞恥プレイ,"humiliation play"
野外プレイ,"outdoor sex, public sex"
お医者さんプレイ,"doctor play, nurse play"
スパンキング,"spanking"
媚薬プレイ,"aphrodisiac"
コスプレプレイ,"cosplay sex"
女王様プレイ,"femdom"
お仕置きプレイ,"punishment play"
盗撮,"voyeurism, secretly recorded"
言葉責め,"dirty talk"
鏡越しプレイ,"sex in front of a mirror"
