Japanese,Prompt
アヘ顔,"ahegao"
舌出し,"tongue out"
恍惚,"ecstasy"
照れ,"embarrassed"
淫らな笑顔,"lewd smile"
息が荒い,"heavy breathing"
よだれ,"drooling"
蕩けた目,"dilated pupils, dreamy eyes"
ハート目,"heart-shaped pupils"
白目,"rolling eyes back"
目が上に逸らす,"rolled up eyes"
催眠にかかった目,"hypnotized eyes"
トランス状態,"trance"
媚びるような目,"seductive look"
悶える表情,"pained smile"
喘ぎ顔,"orgasm face"
絶頂顔,"climax face"
苦痛と快楽が混ざった表情,"pleasurable pain"
懇願する表情,"pleading face"
舌なめずり,"licking lips"
涎を飲む,"swallowing saliva"
嫌悪感,"disgusted"
ニヤリ,"smirk"
嘲笑,"sneer"
キス待ちの顔,"waiting for kiss"
潤んだ目/涙目,"teary eyes"
