Japanese,Prompt
制服,"school uniform"
セーラー服,"sailor uniform"
ブレザー制服,"blazer school uniform"
体操服,"gym uniform"
スクール水着,"school swimsuit"
Tシャツ,"t-shirt"
シャツ,"shirt"
長袖,"long sleeves"
半袖,"short sleeves"
ノースリーブ,"sleeveless"
ミュージシャン袖,"detached sleeves"
オーバーサイズシャツ,"oversized shirt"
カジュアルウェア,"casual clothes"
パーカー,"hoodie"
フード付き,"hood"
セーター,"sweater"
タートルネック,"turtleneck sweater"
カーディガン,"cardigan"
ジャケット,"jacket"
レザージャケット,"leather jacket"
コート,"coat"
トレンチコート,"trench coat"
ダウンジャケット,"down jacket"
ベスト,"vest"
ケープ/マント,"cape"
ビジネススーツ,"business suit"
スカート,"skirt"
ロングスカート,"long skirt"
ミニスカート,"miniskirt"
プリーツスカート,"pleated skirt"
ズボン,"pants"
ジーンズ,"jeans"
ショートパンツ,"short shorts"
ホットパンツ,"hotpants"
オーバーオール,"overalls"
ワンピース,"one-piece dress"
オフショルダートップス,"off-shoulder top"
オフショルダードレス,"off-shoulder dress"
肩を出す,"bare shoulders"
キャミソール,"camisole"
タンクトップ,"tank top"
チューブトップ,"tube top"
パジャマ,"pajamas"
ネグリジェ,"negligee"
スポーツウェア,"sportswear"
テニスウェア,"tennis uniform"
チアリーダー衣装,"cheerleader uniform"
水着,"swimsuit"
ビキニ,"bikini"
レインコート,"raincoat"
夏服,"summer clothes"
冬服,"winter clothes"
靴,"shoes"
ブーツ,"boots"
ロングブーツ,"thigh boots"
ニーハイソックス,"kneehighs"
ハイソックス,"thighhighs"
靴下,"socks"
ストッキング,"pantyhose"
ガーターストラップ,"garter straps"
裸足,"barefoot"
ベレー帽,"beret"
麦わら帽子,"straw hat"
レースの手袋,"lace gloves"
長手袋,"opera gloves"
エプロン,"apron"
毛皮コート,"fur coat"
ポンチョ,"poncho"
ジャージ,"jersey"
ジャンプスーツ,"jumpsuit"
ネクタイ,"necktie"
蝶結びリボン,"bow"
ドレス(単),"dress"
制服(単),"uniform"
鎧/アーマー,"armor"
魔法使いの服/ローブ,"wizard robe"
メイド服,"maid outfit"
着物,"kimono"
ゴスロリドレス,"gothic lolita fashion"
ナース服,"nurse uniform"
巫女服,"miko outfit"
ドレス,"elegant dress"
バニースーツ,"bunny suit"
冒険者の服,"adventurer outfit"
プリンセスドレス,"princess dress"
ビキニアーマー,"bikini armor"
サンタ服,"santa costume"
シスター服,"sister uniform"
浴衣,"yukata"
振袖,"furisode"
ミリタリー制服,"military uniform"
妖精のドレス,"fairy dress"
サイバーパンクスーツ,"cyberpunk suit"
ファンタジードレス,"fantasy dress"
甲冑,"plate armor"
聖職者の服 / プリーストローブ,"priest robe"
暗殺者の衣装 / アサシンスーツ,"assassin outfit"
踊り子の衣装 / ダンサーウェア,"dancer costume"
サイバースーツ,"cybersuit"
クイーンのドレス,"queen gown"
スチームパンクドレス,"steampunk clothing"
戦巫女の服,"battle miko outfit"
ヴァルキリーアーマー,"valkyrie armor"
死神のローブ,"reaper robe"
妖精の衣装,"fairy costume"
