Japanese,Prompt
シンプルな背景,"simple background"
単色の背景,"solid background"
白い背景,"white background"
黒い背景,"black background"
赤い背景,"red background"
青い背景,"blue background"
緑の背景,"green background"
黄色い背景,"yellow background"
ピンクの背景,"pink background"
紫の背景,"purple background"
パステルカラーの背景,"pastel background"
グラデーション背景,"gradient background"
星柄の背景,"starry background"
水玉模様の背景,"polka dot background"
ストライプ柄の背景,"striped background"
チェック柄の背景,"checkered background"
花柄の背景,"floral background"
幾何学模様の背景,"geometric background"
透明な背景,"transparent background"
抽象的な背景,"abstract background"
