Japanese,Prompt
女の子1人,"1girl"
男の子1人,"1boy"
女の子2人,"2girls"
女の子3人,"3girls"
男の子2人,"2boys"
男女カップル,"1girl 1boy, couple"
複数の女の子,"multiple girls"
複数の男の子,"multiple boys"
大勢の女の子,"6+girls"
群衆,"crowd"
単独強調,"solo"
女性,"woman"
男性,"man"
猫耳の少女,"catgirl, cat ears"
エルフの少女,"elf"
ちびキャラ,"chibi"
メイド,"maid"
美少女,"beautiful girl"
アイドル,"idol"
女子学生,"schoolgirl"
女子大生,"college student"
巫女,"miko"
ナース,"nurse"
女騎士,"female knight"
魔法少女,"magical girl"
ギャル,"gyaru"
ツンデレ少女,"tsundere girl"
お姉さん,"onee-san"
お嬢様,"ojou-sama"
男の娘,"otokonoko"
悪魔の少女,"demon girl"
天使,"angel"
狐娘,"fox girl, kemonomimi"
バニーガール,"bunny girl"
ヴァルキリー,"valkyrie"
シスター,"nun"
カウガール,"cowgirl"
クノイチ,"kunoichi"
人魚,"mermaid"
ゴシックガール,"gothic girl"
その他1体,"1other"
