Japanese,Prompt
巨乳,"large breasts"
爆乳,"huge breasts"
超乳,"gigantic breasts"
貧乳,"small breasts"
ちっぱい,"flat chest"
ぽっちゃり,"chubby, plump"
スレンダー,"slender"
細身,"slim"
むっちり,"thick thighs"
肉感的な体,"curvy"
くびれ,"narrow waist"
筋肉質/腹筋,"muscular, female muscle, abs"
巨尻,"huge ass"
大きな腰,"wide hips"
低身長,"petite"
高身長,"tall female"
妊婦,"pregnant"
巨乳化,"breast expansion"
ふたなり,"futanari"
中乳,"medium breasts"
大きな乳輪,"large areolae"
膨らんだ乳首,"puffy nipples"
陥没乳首,"inverted nipples"
黒い乳首,"dark nipples"
母乳,"lactation"
わき毛,"armpit hair"
アナルの穴,"anus"
女性器,"pussy"
陰核,"clitoris"
お腹の膨らみ,"stomach bulge"
アンダーヘア,"pubic hair"
パイパン,"shaved pussy"
