Japanese,Prompt
被写界深度/背景ぼかし,"depth of field, blurry background"
レンズフレア,"lens flare"
逆光,"backlighting"
光の粒子,"light particles"
キラキラ/グリッター,"glittering"
ネオン光,"neon glow"
シネマティックライティング,"cinematic lighting"
ソフトフォーカス,"soft focus"
影の演出,"dramatic shadows"
水滴/雨のエフェクト,"water drops, rain effect"
風の演出,"wind blow"
カラフルな光,"colorful light"
光の線,"light streaks"
煙/スモーク,"smoke, haze"
ゴッドレイ/光の差し込み,"god rays, sun beams"
炎のエフェクト,"fire effect"
氷のエフェクト,"ice effect"
電気/雷エフェクト,"lightning effect"
魔法陣/スペルエフェクト,"magic circle, spell effect"
水しぶき,"water splash"
桜吹雪,"cherry blossoms scattering"
羽が舞う,"falling feathers"
プリズム / 七色の光,"prism light"
オーロラ,"aurora"
ダークオーラ / 闇の気,"dark aura"
ホログラム,"hologram effect"
水中の泡,"underwater bubbles"
スパーク / 火花,"sparks"
レトロテレビのノイズ,"retro CRT screen effect"
モーションブラー / 動きのブレ,"motion blur"
光の粒子の舞い,"drifting light particles"
レーザービーム,"laser beams"
ボケ,"bokeh"
リムライト,"rim lighting"
きらめき,"sparkle"
発光,"glowing"
風,"wind"
雨,"rain"
雪,"snow"
桜の花びら,"cherry blossoms"
落ち葉,"falling leaves"
霧,"fog"
塵,"dust"
粒子,"particles"
