Japanese,Prompt
笑顔,"smile"
軽い微笑み,"light smile"
穏やかな表情,"gentle smile"
爆笑,"laughing"
含み笑い,"giggle"
怒り,"angry"
ふくれ顔,"frown"
泣き顔,"crying"
目を開けて泣く,"crying with eyes open"
涙,"tears"
照れ/赤面,"blushing"
汗,"sweat"
汗ダレ,"sweatdrop"
ドヤ顔,"smug"
ドヤ笑顔,"smug smile"
驚き,"surprised"
驚愕,"shocked"
ジト目,"jitome"
ジト目笑顔,"jitome smile"
ジト目怒り,"jitome angry"
ウィンク,"wink"
ウインク笑顔,"wink smile"
お茶目ウィンク,"playful wink"
悲しい顔,"sad"
真剣な表情,"serious look"
無表情,"expressionless"
悪巧み/ニヤリ,"grin"
悪い笑み,"evil smile"
あくび,"yawning"
困り顔,"troubled face"
すねた顔,"pout"
泣き笑い,"crying smile"
キス顔,"kiss face"
目を閉じる,"closed eyes"
口を開ける,"open mouth"
口を閉じる,"closed mouth"
唇を少し開ける,"parted lips"
拗ねる/ぷくー顔,"pouting"
照れ隠し/ツンツン顔,"tsundere expression"
誘惑するような表情,"seductive smile"
ドヤ顔（自信満々）,"confident smile"
泣き叫ぶ,"screaming"
狂気を感じる笑顔,"crazy smile"
恍惚とした表情,"ecstatic expression"
怯える/怖がる,"scared"
退屈そうな顔,"bored"
頬を染める,"blush"
半目,"half-closed eyes"
