Japanese,Prompt
立ち姿,"standing"
座り姿,"sitting"
正座,"seiza"
あぐら,"sitting cross-legged"
体育座り,"sitting with knees held"
ぺたん座り,"w-sitting"
足を組んで座る,"crossed legs"
跪き,"kneeling"
しゃがみ姿,"squatting"
しゃがんで見上げる,"squatting, looking up"
うずくまる,"crouching"
腕組み,"arms crossed"
後ろ手を組む,"hands behind back"
腰に手を当てる,"hand on hip"
両手を上げる,"arms up"
手を振る,"waving hand"
ピースサイン,"peace sign"
指差し,"pointing"
指ハート,"finger heart"
両手でハートを作る,"hand heart"
ガッツポーズ,"fist pump"
祈る / 手を合わせる,"praying"
走る,"running"
歩く,"walking"
ジャンプ,"jumping"
浮遊する,"floating"
背伸び,"stretching"
伸びをする,"stretching arms"
つま先立ち,"standing on tiptoes"
片足立ち,"standing on one leg"
寝そべる,"lying down"
仰向け,"lying on back"
うつ伏せ,"lying on stomach"
横たわる,"lying on side"
四つん這い,"on all fours"
振り返る,"looking back"
頬杖をつく,"leaning on hand"
屈んでのぞき込む,"leaning forward, looking at viewer"
手を差し伸べる,"reaching out"
腕を伸ばす,"outstretched arm"
手を上げる,"hand up"
銃を構える,"aiming gun"
剣を構える,"holding sword"
髪をかきあげる,"running hands through hair"
髪を結ぶ,"tying hair"
服の裾を掴む,"holding clothes"
スカートをつまむ,"holding skirt"
頬に手を当てる,"hands on cheeks"
首をかしげる,"head tilt"
上目遣い,"looking up at viewer"
内股,"pigeon-toed"
猫ポーズ,"cat pose"
お尻を突き出す,"butt up"
背中合わせ,"back-to-back"
お姫様抱っこ,"princess carry"
膝枕,"lap pillow"
膝を抱える,"hugging knees"
舌を出す,"sticking out tongue"
キスする,"kissing"
抱きしめる,"hugging"
両手を腰に,"hands on hips"
顔に手を当てる,"hand on own face"
腕を後ろで組む,"arms behind back"
手を伸ばす,"reaching"
