Japanese,Prompt
アニメ風,"anime style"
実写風/リアル,"photorealistic"
3Dレンダリング,"3d render"
水彩画風,"watercolor style"
油絵風,"oil painting style"
スケッチ/素描,"sketch"
ドット絵,"pixel art"
レトロゲーム風,"retro style"
サイバーパンク風,"cyberpunk style"
ファンタジー風,"fantasy style"
浮世絵風,"ukiyoe style"
パステルカラー,"pastel colors"
水墨画風,"ink brush painting"
ポップアート,"pop art"
アールヌーボー,"art nouveau"
スタジオジブリ風,"studio ghibli style"
新海誠風,"makoto shinkai style"
京都アニメーション風,"kyoto animation style"
コンセプトアート,"concept art"
厚塗り / ペインターリー,"painterly"
グリザイユ画法,"grisaille"
フラットデザイン / 2D,"flat design"
インクアート / 墨絵,"ink illustration"
鉛筆画 / デッサン,"pencil sketch"
チョークアート,"chalk art"
コラージュアート,"collage"
サイケデリックアート,"psychedelic art"
クラシック油絵風,"classic oil painting"
ネオンアート風,"neon art"
