Japanese,Prompt
眼鏡,"glasses"
リボン,"ribbon"
チョーカー,"choker"
ネックレス,"necklace"
イヤリング/ピアス,"earrings"
ヘアピン,"hairpin"
王冠/ティアラ,"crown"
指輪,"ring"
マフラー,"scarf"
ヘッドホン,"headphones"
腕時計,"wrist watch"
ベール,"veil"
ベルト,"belt"
アンクレット,"anklet"
ブレスレット,"bracelet"
カチューシャ,"headband"
狐のお面,"fox mask"
ガスマスク,"gas mask"
ヘアバンド,"hair band"
猫耳ヘッドホン,"cat ear headphones"
丸眼鏡,"round glasses"
レースのチョーカー,"lace choker"
タトゥー,"tattoo"
コルセット,"corset"
フード付きマント,"hooded cape"
妖精の羽,"fairy wings"
ヘアリボン,"hair ribbon"
伝説の剣,"legendary sword"
魔法の杖,"magic staff"
聖なる盾,"holy shield"
黒い弓矢,"shadow bow"
氷の魔法剣,"ice magic sword"
死神の鎌,"death scythe"
双剣,"dual swords"
レーザーガン,"laser gun"
魔法の魔導書,"mystic grimoire"
クナイ,"ninja kunai"
