Japanese,Prompt
読書,"reading book"
食事,"eating"
睡眠/居眠り,"sleeping"
勉強/執筆,"studying"
音楽を聴く,"listening to music"
歌う,"singing"
料理,"cooking"
買い物,"shopping"
雨の中を歩く,"walking in the rain"
スポーツ,"playing sports"
おしゃべり,"talking"
スマホを操作する,"using smartphone"
紅茶を飲む,"drinking tea"
自撮り,"selfie"
泣いている人を慰める,"comforting"
写真を撮る,"taking photo"
絵を描く,"painting"
泳ぐ,"swimming"
空を見上げる,"looking at sky"
窓の外を見る,"looking out window"
うつむく,"looking down"
カフェでリラックス,"relaxing at cafe"
満員電車に乗る,"in a crowded train"
花見をする,"enjoying cherry blossoms"
暖炉のそばでくつろぐ,"by the fireplace"
ライブステージで歌う,"singing on stage"
旅をする,"on a journey"
恋人とデートする,"dating with lover"
雨宿りをする,"taking shelter from the rain"
図書室で勉強する,"studying at library"
ゲームをする,"playing video games"
