Japanese,Prompt
アップバスト,"upper body"
バストアップ,"portrait"
ウエストショット,"cowboy shot"
全身,"full body"
顔クローズアップ,"close-up face"
横顔,"profile"
俯瞰/見下ろし,"from above"
仰視/見上げ,"from below"
横から,"from side"
後ろ姿,"from behind"
肩越し,"over the shoulder"
一人称視点,"pov"
読者視点,"looking at viewer"
サイドバイサイド両人,"side-by-side"
ダイナミックアングル,"dutch angle"
広角,"wide shot"
望遠,"telephoto shot"
魚眼レンズ,"fisheye"
真上からの俯瞰,"top-down view"
シルエット,"silhouette"
フレームアウト,"out of frame"
マクロ撮影,"macro lens"
ハイアングル,"high angle"
ローアングル,"low angle"
クローズアップ,"close-up"
背面,"back"
